HP Tuners CSV Log File
Version: 1.0

[Log Information]
Creation Time: 9/11/2026 10:56:19 PM
Notes: 

[Channel Information]
0,8,19079,14,9,52,68,11,3,6,7,56,12,17012,17009,17010,17011,12536,19074,19061,2630,2649,12533,10,67,17013,17008,17006,19069,17007,19068,19057,73,2702,69,19059,76,2161,2162,19075,17,13,3136,12145,2127,8022,2128,66,19048,2501,19050,19046,9309,9310,12700,15,5,2124,47,51,70
Offset,Short Term Fuel Trim Bank 2 (SAE),Effective Throttle Area (ETC Model),Timing Advance (SAE),Long Term Fuel Trim Bank 2 (SAE),WB EQ Ratio 1 (SAE) (2),Equivalence Ratio Commanded (SAE),Intake Manifold Absolute Pressure (SAE),Fuel System #1 Status (SAE),Short Term Fuel Trim Bank 1 (SAE),Long Term Fuel Trim Bank 1 (SAE),WB EQ Ratio 5 (SAE) (2),Engine RPM (SAE),Knock Cyl 7 (+Adv/-Ret),Knock Cyl 4 (+Adv/-Ret),Knock Cyl 5 (+Adv/-Ret),Knock Cyl 6 (+Adv/-Ret),Inferred Octane,Borderline Knock,MBT Advance,Knock Retard,Knock Correction (+Adv/-Ret),Knock Octane Modifier,Fuel Pressure (SAE),Absolute Load (SAE),Knock Cyl 8 (+Adv/-Ret),Knock Cyl 3 (+Adv/-Ret),Knock Cyl 1 (+Adv/-Ret),IPC Wheel Torque Error,Knock Cyl 2 (+Adv/-Ret),Scheduled Torque,Engine Brake Torque,Accelerator Position D (SAE),Desired Brake Torque,Relative Throttle Position (SAE),ETC Torque Request,Commanded Throttle Actuator (SAE),Throttle Desired Angle,Throttle Angle,ETC Throttle Angle Error,Throttle Position (SAE),Vehicle Speed (SAE),Total Misfires Since Key-on,RPM Limit Source,Intake Air Temp,Torque Airlimit Source,Intake Air Temp 2,Control Module Voltage (SAE),Driver Demand Limit Source,Drive Mode Requested,Throttle Angle Source,Spark Source,Torque Max Source,Torque Max Protection Source,Torque Source,Intake Air Temp (SAE),Engine Coolant Temp (SAE),Engine Coolant Temp,Fuel Level Input (SAE),Barometric Pressure (SAE),Ambient Air Temp (SAE)
s,%,in²,°,%,λ,λ,psi,,%,%,λ,rpm,°,°,°,°,,°,°,°,°,,psi,%,°,°,°,lb·ft,°,lb·ft,lb·ft,%,lb·ft,%,lb·ft,%,°,°,°,%,mph,,,°F,,°F,V,,,,,,,,°F,°F,°F,%,psi,°F

[Channel Data]
2.268,0,0.1350572407,21,-0.78125,1.9999694824,0.8499755859,4.206094573,OL - Accel/Decel,0,-2.34375,1.9999694824,2739,0,0,0,0,87,57.7271347046,46.675617218,0,0,0,96.5951374356,14.9019607843,0,0,0,0,0,48.478600777,-67.9373958539,16.0784313725,-29.9450221352,5.8823529412,-19.3686255832,7.4509803922,6.421875,6.3203125,0.0128998756,16.0784313725,27.9617036507,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
2.310,0,0.1350572407,21,-0.78125,1.9999694824,0.8499755859,4.206094573,OL - Accel/Decel,0,-2.34375,1.9999694824,2739,0,0,0,0,87,57.7271347046,46.675617218,0,0,0,96.5951374356,14.9019607843,0,0,0,0,0,48.4823711117,-67.9373958539,16.0784313725,-29.9450221352,5.8823529412,-19.3686255832,7.4509803922,6.421875,6.3203125,0.0128998756,16.0784313725,27.9617036507,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
2.357,0,0.1349023134,21,-0.78125,1.9999694824,0.8499755859,4.206094573,OL - Accel/Decel,0,-2.34375,1.9999694824,2739,0,0,0,0,87,57.7279465108,46.662039455,0,0,0,96.5951374356,14.9019607843,0,0,0,0,0,48.5034221472,-67.7624307972,16.0784313725,-29.9450221352,5.8823529412,-19.3686255832,7.4509803922,6.4021084337,6.3230377907,0.0085822719,16.0784313725,27.9617036507,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
2.397,0,0.134747386,21,-0.78125,1.9999694824,0.8499755859,4.206094573,OL - Accel/Decel,0,-2.34375,1.9999694824,2739,0,0,0,0,87,57.7342605591,46.5564346313,0,0,0,96.5951374356,14.9019607843,0,0,0,0,0,48.4564354228,-67.752238617,16.0784313725,-29.9450221352,5.8823529412,-19.3516895252,7.4509803922,6.3671875,6.328125,0.0026269563,16.0784313725,27.9617036507,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
2.437,0,0.1338384598,21,-0.78125,1.9999694824,0.8499755859,4.206094573,OL - Accel/Decel,0,-2.34375,1.9999694824,2737.4051724138,0,0,0,0,87,57.7342987061,46.5465292873,0,0,0,96.5951374356,14.9019607843,0,0,0,0,0,48.3154752495,-67.6808933557,16.0784313725,-29.9450221352,5.8823529412,-19.3178174092,7.4509803922,6.3545045491,6.3305600649,-0.0033283592,16.0784313725,27.9617036507,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
